rank,feature,mean_abs_ensemble_shap,mean_abs_member_shap,mean_ensemble_shap,sd_ensemble_shap,min_ensemble_shap,q25_ensemble_shap,median_ensemble_shap,q75_ensemble_shap,max_ensemble_shap,positive_share
41,scoring,0.003227822604868633,0.003534054586215028,0.00020220657184476316,0.0036773157004911577,-0.005962583152899962,-0.0029136776388509174,-0.0016919478261081275,0.003155027817104019,0.013378610470807129,0.426
42,ine_027,0.003216887641496045,0.003542431732351313,-0.0007798724719804837,0.005827428812110421,-0.02776382181901125,-0.0006551515553415506,0.00033022293551465286,0.0019890857374451477,0.005744591057538215,0.684
43,ine_013,0.0031422080013554354,0.0032522934725853015,0.0019994626661880397,0.0035421390197720357,-0.0049985124143854705,-0.0011071220516339002,0.0025430746428601924,0.0034361955670409007,0.011821138281354737,0.598
44,ine_054,0.003136701961557093,0.0031591101359665346,0.0021075054874481526,0.004006357777608366,-0.0014804124199554194,-0.00085695686865166,-0.000707145902190625,0.005439597680791218,0.018896899090119053,0.404
45,ine_055,0.0031032252196136582,0.0035573768215907,0.0018006445115785457,0.003419297670663995,-0.014068892043285444,0.0016534702148374419,0.00215060891640709,0.003294120724687845,0.008866372056224602,0.87
46,sea_003,0.003099336925311345,0.0032300410058432975,0.0008532955450772278,0.005455043116411505,-0.017325510903900283,-3.276528408936202e-05,0.0003963026032396761,0.0006529662890812932,0.016023085959075423,0.744
47,sea_004,0.002872671425674798,0.0035613999420893664,-4.6904725433293274e-05,0.0040352546767414964,-0.01449971395751396,-0.0012080813488578508,0.0007242255203021179,0.0014094778503316585,0.010115882045359462,0.67
48,pesovehiculo,0.0028692080761702253,0.00394671522702827,0.0006857208976203744,0.004195284693709142,-0.012264658313209076,-0.0018127602675713694,-0.000363457199860974,0.0014654425915801813,0.012502918577791572,0.446
49,dgc_020,0.002695189304794303,0.002946475657839953,0.0015812424892837934,0.0035986998297452485,-0.024210021956526363,0.001620652219023647,0.0023574829013321454,0.0027964024476972676,0.004502228299749461,0.928
50,ine_046,0.002473260439899486,0.002507860304769769,0.0014872769523340428,0.0031131922594559674,-0.0048754148486040375,-0.0007564988568657468,-0.0003788194900487642,0.004831303430701667,0.006458652796066508,0.412
51,ine_012,0.002470257561811949,0.003440529214925808,0.001921878936178368,0.0032948785910595912,-0.00297143516106797,-0.0002056016454248849,0.0008614596030889048,0.00364950317249501,0.01750823389920072,0.716
52,sea_007,0.00236687427116821,0.002597435189139641,0.001079347219685222,0.00654685900741746,-0.0016016042087529658,-0.0009412536737681067,-0.0006775264141531776,-0.0003477214680904696,0.03474843355449755,0.142
53,ine_009,0.00222672099623689,0.002348484844960981,0.0012817198222880182,0.0025481450747340565,-0.008307232987412944,0.001001354409907221,0.0015706319820707583,0.002062946702004788,0.005671521277031937,0.932
54,rep_009,0.0020641798188107893,0.003449253257231948,0.00020941899788437578,0.002534935382178444,-0.005842779330430858,-0.0010894248735261933,-0.0001650953659488669,0.002393192186413079,0.009822573719120504,0.454
