rank,feature,mean_abs_shap,mean_shap,sd_shap,min_shap,q25_shap,median_shap,q75_shap,max_shap,positive_share
114,dgc_020,0.000121688820274087,5.43386020443161e-05,0.000195967728650535,-0.000219193520122884,-6.27948890779319e-05,1.25422340870187e-05,9.44214445372462e-05,0.00135051203831112,0.562
115,ine_039,0.000119782824146461,7.00496627330657e-05,0.000157930785212422,-0.000375602030453803,-2.05984637325416e-05,5.13883924642229e-05,0.000135274411910872,0.000764652733557566,0.688
116,sea_002,0.000117104189138668,2.33303906045645e-05,0.000167533871196168,-0.000291299131375049,-8.06304723441871e-05,-9.76210388669204e-06,8.62957872644636e-05,0.000844027945008606,0.462
117,dgc_015,0.00011647965153672,4.35607966206802e-05,0.000209953297547788,-0.00032280490906885,-6.18448885689132e-05,1.14076272703423e-06,8.24360818167559e-05,0.00179485222554796,0.512
118,rep_002,0.000115387999892804,4.23804064144099e-05,0.000162306105765583,-0.000301216535022313,-5.22687581427222e-05,2.42151737030472e-05,0.000108684052619233,0.00114662900103076,0.578
119,rep_006,0.000113976099480777,4.67838428845167e-05,0.000151750595519589,-0.000330279568112894,-5.20054580059591e-05,1.95115588803805e-05,0.000113949522096736,0.000714610593105066,0.588
120,rep_009,0.000108566306910799,2.1505018794837e-05,0.000167174925564602,-0.000460770313055354,-6.82910657221147e-05,-1.66187890007812e-06,7.89560358253038e-05,0.00141057374569606,0.49
121,ine_020,0.00010322944056981,4.48442024587467e-05,0.000151947182937358,-0.000343836643866136,-3.68272185765267e-05,2.68231828842985e-05,9.46466693346238e-05,0.000862906806563157,0.606
122,contratadanyospropios,5.68664830307573e-05,-3.34281442412181e-06,0.000175427453577994,-0.000440629772033495,-4.47873063495704e-05,-1.79133479877728e-05,-3.25260651745651e-19,0.00236633747974214,0.23
123,dias_notificacion2,3.80599335695522e-05,3.80599335695512e-05,0.000851045986806427,-4.81385764583564e-18,-7.2099444470286e-19,2.16840434497099e-20,7.80625564189561e-19,0.0190299667847756,0.51
124,flota,1.01865087024712e-05,-1.01169516817793e-05,1.92730916453022e-05,-0.000129674428962509,-1.30324550231731e-05,-8.45677694538694e-19,3.57786716920216e-19,1.26626187060219e-05,0.308
125,tomadornacionalidadid,6.89392122184344e-06,1.11663793385813e-06,3.6723520846386e-05,-0.000122288757906861,-3.51281503885304e-18,-2.11419423634673e-19,1.22514845490862e-18,0.000528871659719436,0.46
126,tomadorcodigopostal,8.5330383888979e-07,-3.12538924139591e-07,4.79299955772502e-06,-6.10332997594018e-05,-8.34835672813837e-19,1.0842021724855e-19,1.26851654180804e-18,1.07912175429684e-05,0.536
127,formapago,1.17193581228303e-18,-1.72171304990699e-20,1.59832241108361e-18,-9.41087485717418e-18,-9.10729824887822e-19,-4.33680868994202e-20,9.10729824887821e-19,4.94396190653391e-18,0.49
128,tomadormunicipioid,1.15268038169969e-18,8.08381139805191e-20,1.58050459050855e-18,-4.85722573273506e-18,-7.48099499014998e-19,3.25260651745649e-20,9.54097911787242e-19,7.5243630770494e-18,0.51
129,tomadorexperian,1.1408192099327e-18,-3.14201789586301e-20,1.5234173286576e-18,-4.68375338513738e-18,-8.67361737988403e-19,4.33680868994203e-20,8.67361737988403e-19,5.50774703622636e-18,0.51
130,sexo,1.13446578520193e-18,6.03250088770934e-20,1.52523805672492e-18,-7.80625564189564e-18,-8.34835672813838e-19,8.67361737988403e-20,9.54097911787244e-19,5.89805981832114e-18,0.532
131,tipocliente,1.10378286372059e-18,9.30245463992554e-21,1.49876135078638e-18,-6.11490025281824e-18,-7.91467585914419e-19,8.67361737988393e-20,8.67361737988403e-19,7.54604712049911e-18,0.52
132,scoring,1.08866908543614e-18,-8.27896778909932e-20,1.43131407339972e-18,-9.19403442267708e-18,-9.10729824887823e-19,-1.73472347597682e-19,8.67361737988403e-19,5.55111512312579e-18,0.452
133,garantia,1.08532974274489e-18,2.10335221462187e-20,1.43283470805105e-18,-5.29090660172926e-18,-8.23993651088984e-19,1.62415798610998e-33,8.94466792300541e-19,6.33174068731535e-18,0.502
134,subramo,1.07862937331893e-18,-2.99456640040498e-20,1.48650917147284e-18,-7.97972798949331e-18,-8.67361737988404e-19,-1.3010426069826e-19,7.80625564189564e-19,7.89299181569447e-18,0.466
135,tomadornivel,1.07815232436304e-18,-2.46547574023205e-20,1.42150221157288e-18,-6.67868538251071e-18,-8.34835672813839e-19,-4.33680868994193e-20,7.86046575051991e-19,5.46437894932693e-18,0.486
136,canalnombre,1.07017259637354e-18,1.19262238973393e-21,1.41379189414482e-18,-8.89045781438114e-18,-8.67361737988404e-19,1.12513280024013e-33,8.34835672813839e-19,5.29090660172924e-18,0.504
137,zona,1.06644294090019e-18,-5.26922255827966e-21,1.42629744411108e-18,-6.72205346941013e-18,-7.9146758591442e-19,2.16840434497105e-20,7.91467585914419e-19,3.98986399474666e-18,0.514
138,tomadorcategoriacarnet,1.06401432803382e-18,1.1217155676535e-19,1.41505118454176e-18,-5.8113236445223e-18,-6.93889390390726e-19,8.67361737988408e-20,9.5409791178724e-19,5.55111512312578e-18,0.532
139,tipo,1.0622579205144e-18,1.72604985859691e-20,1.40798129718649e-18,-4.5102810375397e-18,-7.48099499014999e-19,4.33680868994206e-20,8.673617379884e-19,4.85722573273506e-18,0.504
140,garantia_agrupada,1.04701403796925e-18,-1.79327039329104e-20,1.37071119903963e-18,-4.5102810375397e-18,-8.67361737988402e-19,-4.3368086899422e-20,7.42678488152571e-19,5.76795555762288e-18,0.482
141,tipodocumento,1.04057387706469e-18,-1.00613961606656e-20,1.40055627677368e-18,-7.37257477290143e-18,-7.80625564189565e-19,1.54232811569065e-34,8.67361737988403e-19,5.55111512312579e-18,0.502
142,motor,1.04044377280399e-18,6.46618175670354e-20,1.4131702878184e-18,-6.76542155630955e-18,-7.80625564189563e-19,3.74497946545142e-34,7.80625564189565e-19,6.41847686111418e-18,0.508
143,garantiaasistencia,1.03272425333589e-18,8.16187395447087e-20,1.36970746874628e-18,-3.90312782094781e-18,-7.80625564189564e-19,4.00343171060021e-34,7.86046575051992e-19,6.76542155630955e-18,0.504
144,formapago_agrupado,1.01815257613769e-18,-6.24500451351651e-20,1.38920503529266e-18,-5.5944832100252e-18,-8.23993651088984e-19,-4.33680868994193e-20,6.50521303491303e-19,6.15826833971766e-18,0.478
