candidate,fold,ntree,mtry,nodesize,nsplit,splitrule,threshold_rule,selected_threshold,selected_quantile,training_oob_gmean,fit_seconds,threshold,tn,fp,fn,tp,sensitivity,specificity,gmean,precision,npv,f1,p4,informedness,markedness,roc_auc,pr_auc,predicted_positive,predicted_positive_rate,balance_gap
3,4,500,24,20,10,gini,q_star_prevalence,0.00418848167539267,0.75470359736531,0.778418912063298,157.675,0.00418848167539267,66759,21683,59,313,0.841397849462366,0.754833676307637,0.796941297679457,0.0142298599745408,0.999117004400012,0.0279864091559371,0.00902962350000607,0.596231525770002,0.0133468643745527,0.87324737821008,0.0281624918450499,21996,0.247663656630711,0.086564173154729
4,0,500,48,20,10,gini,gmean_optimized,0.00361117831631742,0.749318103130392,0.787644180278439,309.564,0.00361117831631742,65799,22644,70,302,0.811827956989247,0.743970692988705,0.777159062064449,0.0131613353089863,0.998937284610363,0.0259027360837122,0.00794068572244659,0.555798649977952,0.0120986199193494,0.860891207616983,0.0276654615646172,22946,0.258357259471936,0.0678572640005427
4,0,500,48,20,10,gini,q_star_prevalence,0.00418849346533093,0.766435192352622,0.783128196081712,309.564,0.00418849346533093,67461,20982,80,292,0.78494623655914,0.762762457175808,0.773774851070228,0.0137256745322929,0.998815534268074,0.0269795805229604,0.00820820520786715,0.547708693734948,0.0125412088003671,0.860891207616983,0.0276654615646172,21274,0.239531610651354,0.0221837793833316
4,1,500,48,20,10,gini,gmean_optimized,0.00363250610775363,0.745177462076964,0.783854708870984,310.602,0.00363250610775363,66001,22442,60,312,0.838709677419355,0.746254649887498,0.791132730128034,0.0137118748351938,0.999091748535444,0.0269826169679149,0.00857434426662655,0.584964327306853,0.0128036233706383,0.878218645530643,0.0291485352550324,22754,0.256195462478185,0.0924550275318568
4,1,500,48,20,10,gini,q_star_prevalence,0.00418849346533093,0.762179142541076,0.782268895884877,310.602,0.00418849346533093,67598,20845,67,305,0.81989247311828,0.764311477448752,0.791614317378194,0.0144208037825059,0.999009827828272,0.0283430907908187,0.00902789520244663,0.584203950567032,0.0134306316107775,0.878218645530643,0.0291485352550324,21150,0.23813545009289,0.0555809956695273
4,2,500,48,20,10,gini,gmean_optimized,0.00329427998646151,0.738581537924551,0.789299121575187,304.735,0.00329427998646151,65433,23011,57,315,0.846774193548387,0.739824069467686,0.791494744007303,0.0135042441910315,0.999129638112689,0.0265845219005823,0.00845255869119523,0.586598263016073,0.0126338823037204,0.868028986083412,0.0285105231774494,23326,0.262632858944334,0.106950124080701
4,2,500,48,20,10,gini,q_star_prevalence,0.00418850525533556,0.765899712321749,0.780864581336786,304.735,0.00418850525533556,67927,20517,77,295,0.793010752688172,0.768022703631677,0.780416723480834,0.0141745147030559,0.998867713663902,0.0278512084592145,0.00862321687894385,0.561033456319849,0.013042228366958,0.868028986083412,0.0285105231774494,20812,0.234327148261575,0.0249880490564954
4,3,500,48,20,10,gini,gmean_optimized,0.00340936894927355,0.742732083544446,0.790879826507801,303.119000000001,0.00340936894927355,65300,23142,67,305,0.81989247311828,0.73833698921327,0.778046875246455,0.0130080607327163,0.998975017975431,0.0256098072966959,0.00786644860025232,0.558229462331549,0.0119830787081474,0.866117606873395,0.0297161656315819,23447,0.264001170986556,0.0815554839050099
4,3,500,48,20,10,gini,q_star_prevalence,0.00418848167539267,0.766585036311434,0.784859853519411,303.119000000001,0.00418848167539267,67537,20905,76,296,0.795698924731183,0.763630401845277,0.779499768852004,0.0139616055846422,0.998875955807315,0.0274417095443378,0.00847381358508926,0.55932932657646,0.0128375613919574,0.866117606873395,0.0297161656315819,21201,0.238712365167654,0.0320685228859057
4,4,500,48,20,10,gini,gmean_optimized,0.0030094900483734,0.726391938298711,0.787766907698352,304.684,0.0030094900483734,64142,24300,50,322,0.865591397849462,0.725243662513286,0.792316020042722,0.0130777353586224,0.999221086739781,0.0257661838841322,0.008203345619623,0.590835060362748,0.0122988220984031,0.876483461125,0.0304167992398433,24622,0.277231067174094,0.140347735336177
4,4,500,48,20,10,gini,q_star_prevalence,0.00418848167539267,0.764392276079491,0.779763106176758,304.684,0.00418848167539267,67676,20766,62,310,0.833333333333333,0.765202053323082,0.798541406421254,0.0147086733725565,0.999084708730698,0.0289071242073853,0.00937067113758822,0.598535386656415,0.0137933821032541,0.876483461125,0.0304167992398433,21076,0.237304929403022,0.0681312800102516
