rank,trial,mean_fpr,std_fpr,worst_fold_fpr,mean_pr_auc,mean_roc_auc,mean_precision,median_best_iteration,best_iterations,mean_training_rows,rus_ratio,learning_rate,tree_shape,min_child_samples,feature_fraction,reg_alpha,reg_lambda,min_split_gain,cat_smooth,cat_l2,relative_fpr_reduction_vs_baseline,relative_fpr_reduction_vs_screen_rus15,relative_fpr_reduction_vs_broad_best
24,30,0.19351259272188145,0.017029812169896706,0.21540183619013162,0.04784002811593629,0.8937618800719758,0.01721683855159051,220,"[95, 117, 354, 365, 220]",8928.0,5,0.025488604889384068,d5_l15,50,0.9,0.01,0.01,0.1,50.0,5.0,0.15476653068103285,0.09438841654185053,-0.015317163691433655
25,16,0.19433123687195442,0.021910293273447623,0.2203930259379028,0.047700173211472796,0.8935468205679611,0.017218735257284724,154,"[93, 83, 154, 328, 180]",8928.0,5,0.04834509878362691,d3_l7,50,0.9,1.0,0.1,0.2,50.0,5.0,0.15119081798259199,0.09055727762417896,-0.019612405901945764
26,3,0.19442392837976072,0.019172198644207508,0.2170073718963412,0.04812029649739045,0.8946033148297106,0.017159473429879675,311,"[189, 292, 311, 920, 327]",8928.0,5,0.023404527272255594,d3_l7,50,0.8,0.1,0.0,0.1,100.0,1.0,0.15078595562393335,0.09012349446838078,-0.020098737450091757
27,13,0.19464330605397834,0.01866662573650009,0.21264783700052012,0.04751375782674104,0.8938087054665648,0.0171430725148415,142,"[57, 82, 173, 173, 142]",16368.0,10,0.05008328688609219,d3_l7,100,0.8,0.01,0.01,0.2,50.0,1.0,0.1498277474264101,0.08909683795921439,-0.021249762894125664
28,12,0.19511815491724,0.022269144300141482,0.22375740581610962,0.0471677125672613,0.8929188697356654,0.017149480551431874,123,"[81, 123, 89, 211, 163]",16368.0,10,0.0348866729801748,d3_l7,50,0.8,0.01,1.0,0.1,50.0,1.0,0.14775368006752945,0.08687461239284137,-0.023741188357696598
29,25,0.1951475988395846,0.01671598078154055,0.2187761470794419,0.03867362383795862,0.8913065815731341,0.01706676438825878,148,"[229, 116, 214, 148, 131]",2976.0,1,0.03218700673851148,d3_l7,100,0.8,0.0,1.0,0.1,50.0,1.0,0.14762507350873327,0.08673681899778289,-0.023895674013138374
30,2,0.19599329376368302,0.016881443762052577,0.21788928587580841,0.04056048302702034,0.8934709608614199,0.016998247906152092,254,"[148, 192, 254, 409, 341]",4464.0,2,0.021959816073193316,d3_l7,100,0.8,0.1,0.01,0.2,100.0,5.0,0.14393120715808974,0.08277908628094618,-0.028332845566712186
31,28,0.1960295544701227,0.019860536987533782,0.22629519911354334,0.0437485815287203,0.8924032668860292,0.017026450388062754,65,"[47, 63, 106, 65, 139]",5952.0,3,0.05383493858914542,d5_l15,50,1.0,0.01,0.01,0.05,20.0,5.0,0.14377282592680712,0.08260939129978619,-0.02852309735910438
32,14,0.1963076892586758,0.018469980045236034,0.22017819587978563,0.043236312568679776,0.8923431533551828,0.016993010558243545,247,"[301, 193, 510, 78, 247]",11904.0,7,0.030257416348882262,d3_l7,100,0.9,0.1,0.1,0.05,20.0,5.0,0.14255797562192332,0.08130775980008127,-0.02998240820118228
33,18,0.19656774109829944,0.023523468529462112,0.22950634314013704,0.04555780498587932,0.8937643042884076,0.01703190983983155,91,"[72, 52, 113, 263, 91]",8928.0,5,0.06382320160562817,d5_l15,100,0.9,0.01,0.01,0.2,50.0,1.0,0.14142210887797574,0.08009075394557735,-0.03134684186674161
34,20,0.1965948256480431,0.01807152791213283,0.21586540635882592,0.040442476157997585,0.8935119933503168,0.016966256182277917,221,"[113, 118, 407, 266, 221]",4464.0,2,0.029839029494567675,d3_l7,100,0.9,0.1,0.1,0.2,100.0,1.0,0.14130380769859116,0.07996400208082481,-0.03148894842341983
35,4,0.1967825145987705,0.01882316110111468,0.21721089050698747,0.03754274647874252,0.8900662434563064,0.016956084181750146,236,"[348, 180, 446, 236, 202]",2976.0,1,0.02254959049436291,d3_l7,100,1.0,1.0,0.0,0.1,20.0,5.0,0.1404840110086457,0.07908564431880499,-0.03247371024397303
36,29,0.19739313263830205,0.013056452352632522,0.21804120214377784,0.046854411120513945,0.8924212680586662,0.016837581803351785,90,"[26, 238, 90, 159, 53]",5952.0,3,0.09166194918969107,d4_l15,50,0.9,0.01,0.01,0.2,50.0,5.0,0.13781692461017153,0.07622803819669059,-0.03567748611858512
37,7,0.1982659936759737,0.019153426496824926,0.2241808190678637,0.04944495463125122,0.8943086188189051,0.01682682531620787,124,"[91, 124, 168, 184, 120]",5952.0,3,0.05533409416503589,d3_l7,50,1.0,0.0,0.1,0.05,50.0,5.0,0.13400440082178483,0.0721431719079069,-0.0402571921759539
38,5,0.19913429656278153,0.016574153953583408,0.221405635204197,0.03943650092743955,0.8920374323830271,0.016726728635714706,281,"[72, 109, 281, 415, 319]",4464.0,2,0.023792652786867048,d4_l15,100,1.0,0.1,0.0,0.2,100.0,1.0,0.1302117863406639,0.06807963712093067,-0.04481298263826178
39,19,0.2020424606825389,0.025910446378931064,0.23094231247597297,0.04384289072893679,0.8885161480953743,0.016619268902385315,68,"[28, 67, 364, 242, 68]",16368.0,10,0.04127599116962729,d4_l15,50,1.0,0.1,0.1,0.05,20.0,5.0,0.11750936933659725,0.05446984007152223,-0.06007146739157655
40,15,0.20526259247702852,0.023865180780098538,0.2301508333144886,0.03771479815732807,0.8872753653624226,0.016323308407261698,60,"[87, 39, 60, 22, 75]",2976.0,1,0.07313593775158003,d4_l15,50,0.8,0.01,0.01,0.1,100.0,1.0,0.10344432514470567,0.03940007839692742,-0.07696677655108285
