candidate,fold,ntree,mtry,nodesize,nsplit,splitrule,threshold_rule,selected_threshold,selected_quantile,training_oob_gmean,fit_seconds,threshold,tn,fp,fn,tp,sensitivity,specificity,gmean,precision,npv,f1,p4,informedness,markedness,roc_auc,pr_auc,predicted_positive,predicted_positive_rate,balance_gap
4,3,500,24,10,10,gini,q_star_prevalence,0.00418848167539267,0.769064910206609,0.77914415507346,294.95,0.00418848167539267,67683,20759,81,291,0.782258064516129,0.76528120123923,0.77372307144868,0.0138242280285036,0.998804675048698,0.0271683316216973,0.00826594573017993,0.547539265755359,0.012628903077202,0.86153245319878,0.0281889822628518,21050,0.237012182763979,0.0169768632768987
4,4,500,24,10,10,gini,gmean_optimized,0.00239487607908661,0.702879581151833,0.77612989518976,300.164,0.00239487607908661,61721,26721,44,328,0.881720430107527,0.697869790371091,0.78442721250926,0.0121261414470036,0.999287622439893,0.0239232704861238,0.00745621531218149,0.579590220478618,0.0114137638868967,0.863521211763107,0.0299631475073696,27049,0.304557839980183,0.183850639736436
4,4,500,24,10,10,gini,q_star_prevalence,0.00418848167539267,0.76817260597872,0.766916829393451,300.164,0.00418848167539267,67846,20596,66,306,0.82258064516129,0.767124217000973,0.794368638189795,0.014639747392594,0.999028154081753,0.0287675096361756,0.0092290179388207,0.589704862162263,0.0136679014743468,0.863521211763107,0.0299631475073696,20902,0.235345778818655,0.0554564281603179
5,0,500,12,1,10,auc,gmean_optimized,0.000524097902283238,0.704609876174847,0.734784285792658,131.921,0.000524097902283238,53271,35172,62,310,0.833333333333333,0.60232013839422,0.70847261673395,0.00873682430528155,0.99883749273433,0.017292352317733,0.00438020640572905,0.435653471727553,0.00757431703961098,0.800449508881183,0.0209301069176988,35482,0.399504588188932,0.231013194939113
5,0,500,12,1,10,auc,q_star_prevalence,0.00418849346533093,0.767578020542759,0.726270356259668,131.921,0.00418849346533093,70325,18118,129,243,0.653225806451613,0.795144895582466,0.72070046875435,0.0132345732803224,0.998169018082721,0.0259435221267282,0.00686157220522174,0.448370702034079,0.011403591363043,0.800449508881183,0.0209301069176988,18361,0.206733096886787,0.141919089130853
5,1,500,12,1,10,auc,gmean_optimized,0.00106170600927385,0.719576421709232,0.722614842429613,132.788,0.00106170600927385,55762,32681,53,319,0.85752688172043,0.630485171240234,0.735294487171371,0.00966666666666667,0.99905043447102,0.0191178233249431,0.00522139772925076,0.488012052960664,0.00871710113768698,0.809831728691306,0.0185636954081748,33000,0.371558858300963,0.227041710480196
5,1,500,12,1,10,auc,q_star_prevalence,0.00418849346533093,0.764022867823194,0.712360150147347,132.788,0.00418849346533093,70206,18237,120,252,0.67741935483871,0.793799396221295,0.733304217129281,0.0136297257828979,0.998293660950431,0.0267218069031335,0.0073166755453926,0.471218751060005,0.0119233867333288,0.809831728691306,0.0185636954081748,18489,0.208174294882621,0.116380041382585
5,2,500,12,1,10,auc,gmean_optimized,0.00025090283026791,0.684080302202906,0.728450166226408,131.442000000001,0.00025090283026791,51201,37243,54,318,0.854838709677419,0.578908687983357,0.703472498294525,0.00846622826868294,0.998946444249342,0.0167664039227058,0.00418529839233263,0.433747397660776,0.00741267251802458,0.802086144783675,0.0225474646968985,37561,0.422908034588362,0.275930021694063
5,2,500,12,1,10,auc,q_star_prevalence,0.00418850525533556,0.767498550349324,0.714344919293771,131.442000000001,0.00418850525533556,70340,18104,124,248,0.666666666666667,0.795305504047759,0.728150856186527,0.0135135135135135,0.998240236148956,0.0264900662251656,0.00715230589343423,0.461972170714426,0.0117537496624691,0.802086144783675,0.0225474646968985,18352,0.206629436137633,0.128638837381092
5,3,500,12,1,10,auc,gmean_optimized,0.000412532889022343,0.698389911614029,0.73152935460786,131.337,0.000412532889022343,52628,35814,50,322,0.865591397849462,0.595056647294272,0.717687895349409,0.0089107814921408,0.999050837161623,0.0176399693217925,0.00458537253145727,0.460648045143735,0.00796161865376432,0.794144917402888,0.0221636839686782,36136,0.40687279032585,0.27053475055519
5,3,500,12,1,10,auc,q_star_prevalence,0.00418848167539267,0.768051567865788,0.722192685274163,131.337,0.00418848167539267,70365,18077,140,232,0.623655913978495,0.795606159969245,0.704403639160489,0.012671363810148,0.998014325225161,0.0248380707670896,0.00627484954916424,0.41926207394774,0.0106856890353093,0.794144917402888,0.0221636839686782,18309,0.206149931317135,0.171950245990751
5,4,500,12,1,10,auc,gmean_optimized,0.000465640801775256,0.701978832404436,0.729185372335421,133.173000000001,0.000465640801775256,53129,35313,54,318,0.854838709677419,0.600721376721467,0.716603018799266,0.00892481266313042,0.998984637948217,0.0176651945671194,0.00457841531214428,0.455560086398887,0.00790945061134707,0.80151261880394,0.0287942510341266,35631,0.401186749836737,0.254117332955952
5,4,500,12,1,10,auc,q_star_prevalence,0.00418848167539267,0.768642684231267,0.713058569444827,133.173000000001,0.00418848167539267,70790,17652,139,233,0.626344086021505,0.800411569163972,0.708048764372234,0.0130276768241543,0.998040293814942,0.0255244563728981,0.0065184057494016,0.426755655185477,0.0110679706390961,0.80151261880394,0.0287942510341266,17885,0.201375909203504,0.174067483142466
6,0,500,24,1,10,auc,gmean_optimized,2.48756218905473e-05,0.742351354926969,0.740791261705643,231.835999999999,2.48756218905473e-05,55354,33089,55,317,0.852150537634409,0.625872030573364,0.730299381995789,0.00948931329701251,0.999007381472324,0.0187696133578069,0.0050559800176441,0.478022568207772,0.00849669476933657,0.799070423706466,0.0225979290209754,33406,0.376130158193999,0.226278507061045
6,0,500,24,1,10,auc,q_star_prevalence,0.00418849346533093,0.753132221843782,0.7386086069567,231.835999999999,0.00418849346533093,70992,17451,127,245,0.658602150537634,0.802686476035413,0.727083928666009,0.0138449367088608,0.998214260605464,0.0271197697586894,0.00730607010356527,0.461288626573047,0.0120591973143247,0.799070423706466,0.0225979290209754,17696,0.199245622924056,0.144084325497778
6,1,500,24,1,10,auc,gmean_optimized,0.000483558994197292,0.741166304020447,0.733050497184304,233.506000000001,0.000483558994197292,55584,32859,36,336,0.903225806451613,0.628472575557139,0.75342726848072,0.010122006326254,0.999352750809062,0.0200196621682009,0.00574206474932943,0.531698382008751,0.00947475713531554,0.831628511358813,0.0213030103879713,33195,0.373754433372741,0.274753230894474
6,1,500,24,1,10,auc,q_star_prevalence,0.00418849346533093,0.750576340078647,0.73216928780329,233.506000000001,0.00418849346533093,71000,17443,100,272,0.731182795698925,0.802776929773979,0.766144033347997,0.0153542195879198,0.9985935302391,0.030076850776801,0.00899989292963598,0.533959725472903,0.0139477498270197,0.831628511358813,0.0213030103879713,17715,0.199459550751562,0.071594134075054
6,2,500,24,1,10,auc,gmean_optimized,0.000444642063139173,0.745061335705318,0.741464543942631,230.191999999999,0.000444642063139173,56365,32079,39,333,0.895161290322581,0.63729591605988,0.755303008426071,0.0102739726027397,0.999308559676619,0.0203147877013177,0.00585707034082361,0.53245720638246,0.00958253227935835,0.825792598001384,0.0232973139190825,32412,0.364934246081787,0.257865374262701
6,2,500,24,1,10,auc,q_star_prevalence,0.00418850525533556,0.754631845025306,0.739344731759395,230.191999999999,0.00418850525533556,71249,17195,112,260,0.698924731182796,0.805583193885397,0.750361257816346,0.0148954454311086,0.998430515267443,0.0291692376731924,0.00837359874874207,0.504507925068192,0.0133259606985516,0.825792598001384,0.0232973139190825,17455,0.196529904521708,0.106658462702601
6,3,500,24,1,10,auc,gmean_optimized,0.000555555555555556,0.743503349659404,0.743399805215083,231.797,0.000555555555555556,55824,32618,43,329,0.884408602150538,0.631193324438615,0.747149788030156,0.00998573466476462,0.999230314854923,0.0197484918514961,0.00557007417373461,0.515601926589153,0.00921604951968802,0.81281344580848,0.0229808078625754,32947,0.370966289098566,0.253215277711923
6,3,500,24,1,10,auc,q_star_prevalence,0.00418848167539267,0.753192028373586,0.738637975547483,231.797,0.00418848167539267,71071,17371,125,247,0.663978494623656,0.803588792655073,0.730455800746053,0.0140197525258259,0.998244283386707,0.0274596998332407,0.0074673251799267,0.467567287278729,0.012264035912533,0.81281344580848,0.0229808078625754,17618,0.198369626410251,0.139610298031418
6,4,500,24,1,10,auc,gmean_optimized,8.73934891850557e-05,0.745279513595676,0.729231478436096,231.585000000001,8.73934891850557e-05,55988,32454,53,319,0.85752688172043,0.633047647045521,0.736787197738534,0.00973362218899704,0.999054263842544,0.0192487554683964,0.00527895189935857,0.490574528765952,0.0087878860315409,0.797127736104556,0.0295703092616692,32773,0.369007138514198,0.224479234674909
6,4,500,24,1,10,auc,q_star_prevalence,0.00418848167539267,0.755939312053144,0.727792460422527,231.585000000001,0.00418848167539267,71391,17051,138,234,0.629032258064516,0.807206983107573,0.712572263921072,0.0135377494937807,0.998070712578115,0.0265050688112363,0.0068606555144832,0.436239241172089,0.0116084620718959,0.797127736104556,0.0295703092616692,17285,0.194620217533272,0.178174725043057
7,0,500,12,10,10,auc,gmean_optimized,0.00284818228366615,0.692308991468197,0.757058534157924,131.614000000001,0.00284818228366615,60961,27482,62,310,0.833333333333333,0.689268794590866,0.757885652429874,0.0111542890040299,0.998983989643249,0.022013918477489,0.00640040995042527,0.5226021279242,0.0101382786472792,0.830175051083871,0.0230763859170413,27792,0.312920114845465,0.144064538742467
7,0,500,12,10,10,auc,q_star_prevalence,0.00418849346533093,0.751401090472022,0.752091113034443,131.614000000001,0.00418849346533093,66374,22069,93,279,0.75,0.750472055448142,0.750235990596363,0.012484338643279,0.998600809424225,0.0245598591549296,0.00701702854496365,0.500472055448142,0.0110851480675047,0.830175051083871,0.0230763859170413,22348,0.251624162585149,0.000472055448141773
7,1,500,12,10,10,auc,gmean_optimized,0.00325657326630008,0.710498537686589,0.752699076176317,132.236000000001,0.00325657326630008,62928,25515,59,313,0.841397849462366,0.711509107560802,0.773732662471054,0.0121186309431625,0.999063298775938,0.0238931297709924,0.00724817092487615,0.552906957023168,0.0111819297191005,0.851811670453201,0.0231125838127853,25828,0.290806733096887,0.129888741901564
7,1,500,12,10,10,auc,q_star_prevalence,0.00418849346533093,0.749205509220034,0.747945722104802,132.236000000001,0.00418849346533093,66499,21944,73,299,0.803763440860215,0.751885395113237,0.777391788166532,0.0134424313267095,0.998903442888902,0.0264426265752819,0.0081148637798206,0.555648835973452,0.0123458742156117,0.851811670453201,0.0231125838127853,22243,0.250441929854191,0.0518780457469782
7,2,500,12,10,10,auc,gmean_optimized,0.00356000882077292,0.725931576488074,0.76019342662606,131.530000000001,0.00356000882077292,64327,24117,77,295,0.793010752688172,0.72731898150242,0.759454918323417,0.0120842208749795,0.998804422085585,0.0238056810845707,0.00696150451518936,0.520329734190592,0.0108886429605644,0.837565128386931,0.0274188532721019,24412,0.274860385516123,0.0656917711857524
7,2,500,12,10,10,auc,q_star_prevalence,0.00418850525533556,0.750916235524605,0.754546998237809,131.530000000001,0.00418850525533556,66677,21767,96,276,0.741935483870968,0.75388946678124,0.747888592185738,0.0125209817175521,0.998562293142438,0.0246263662725853,0.00699338377528135,0.495824950652208,0.0110832748599898,0.837565128386931,0.0274188532721019,22043,0.248187263556116,0.0119539829102724
