rank,trial,mean_fpr,std_fpr,worst_fold_fpr,mean_pr_auc,mean_roc_auc,mean_precision,median_best_iteration,best_iterations,mean_training_rows,rus_ratio,learning_rate,tree_shape,min_child_samples,feature_fraction,reg_alpha,reg_lambda,min_split_gain,cat_smooth,cat_l2,relative_fpr_reduction_vs_baseline,relative_fpr_reduction_vs_screen_rus15
27,45,0.1980443213172039,0.022229779749488292,0.2274772737551445,0.05145556528383769,0.8934017484370067,0.016886412475564733,233,"[110, 233, 129, 414, 308]",23808.0,15,0.018859564728351222,d3_l7,100,0.9,0.1,0.01,0.1,50.0,1.0,0.13497263185119593,0.07318056721645376
28,46,0.19868880809131279,0.028483189454868326,0.23508660847541948,0.04783995436588259,0.8918837648433474,0.01693410794132256,371,"[240, 371, 113, 1429, 562]",8928.0,5,0.012725091741205818,d3_l7,50,0.9,0.01,0.1,0.01,50.0,1.0,0.13215761198944898,0.07016446020342118
29,3,0.19925873419546858,0.018512305530101313,0.22601252798444177,0.04482004810222731,0.8909731090908501,0.016734988634294873,245,"[51, 193, 290, 262, 245]",23808.0,15,0.0211509720216856,unlimited_l63,200,0.7,0.0,0.1,0.05,50.0,10.0,0.1296682617539148,0.06749728658759116
30,55,0.19969066874602115,0.012308209316204365,0.21806381583410597,0.04320610175559022,0.8912968864160133,0.016640627168222864,394,"[35, 331, 781, 394, 492]",8928.0,5,0.032851461549283194,d3_l7,200,0.9,0.01,0.01,0.01,20.0,1.0,0.12778163756296623,0.06547589393931846
31,35,0.20044365426394634,0.017854266499946116,0.22005382058298092,0.04681194111914042,0.891214916124839,0.016635964172804933,265,"[401, 156, 305, 265, 115]",23808.0,15,0.029408382381977852,unlimited_l31,50,0.9,1.0,5.0,0.1,50.0,10.0,0.12449271174831625,0.06195202814010748
32,48,0.2005228600926856,0.02035940758392464,0.23261572556025417,0.04859992409387559,0.8902522822109369,0.016651072954048423,139,"[115, 139, 186, 108, 159]",90768.0,60,0.020998839969633094,d6_l31,400,0.8,0.01,1.0,0.05,50.0,20.0,0.12414675277751276,0.061581356056318204
33,10,0.20132107209690045,0.019103790278999375,0.22565070893919179,0.045354363645021226,0.8902219361944856,0.01657299512880844,76,"[76, 185, 52, 68, 175]",31248.0,20,0.02467177000210154,d8_l31,50,0.6,0.01,1.0,0.1,20.0,5.0,0.12066028457363617,0.0578458366934454
34,12,0.2019338850026598,0.023029116971117557,0.22722852878657682,0.04375566610437106,0.8879782131880614,0.0165758169442273,148,"[110, 169, 8, 148, 388]",31248.0,20,0.023511026046966657,unlimited_l63,50,0.6,5.0,0.1,0.05,50.0,20.0,0.11798361133447989,0.05497795890760062
35,29,0.2023997147500563,0.012462106409842025,0.21929130297137173,0.0410262072755232,0.8884072648707809,0.01642180365235141,96,"[26, 38, 134, 125, 96]",23808.0,15,0.05900861372413685,d4_l15,20,1.0,10.0,1.0,0.0,20.0,5.0,0.11594893809711694,0.05279794152874216
36,9,0.20258292059388613,0.018841421500552676,0.22723366726216052,0.04659506884383705,0.8907519778909876,0.01646941125819183,307,"[312, 250, 417, 172, 307]",90768.0,60,0.010550473129393062,d6_l63,100,0.8,1.0,5.0,0.05,50.0,1.0,0.11514872293384666,0.05194056407337432
37,18,0.2028226733966378,0.021590689102223056,0.23379163745731665,0.04166453210408498,0.890502910944775,0.016482316521999628,160,"[37, 139, 278, 166, 160]",8928.0,5,0.06949180260885074,d5_l15,200,0.9,0.01,0.01,0.1,20.0,1.0,0.11410151928472821,0.05081855484242725
38,14,0.20290403295120701,0.02392762835059363,0.23586079012234007,0.04039366459820237,0.8885943528159725,0.016506774344655577,288,"[288, 189, 353, 107, 495]",31248.0,20,0.017197881647050023,d3_l7,400,0.6,5.0,5.0,0.05,20.0,20.0,0.11374615316822112,0.05043780362615482
39,4,0.20374749552597193,0.015960375871642406,0.22484792293254335,0.039779525501877154,0.8903265758656277,0.016343327517253935,61,"[50, 168, 105, 50, 61]",16368.0,10,0.08505456981059523,unlimited_l31,400,0.7,0.01,0.0,0.01,50.0,10.0,0.1100620373787444,0.04649051798868543
40,24,0.20446211243056633,0.017946667112617876,0.22704145089437144,0.04188075267781029,0.8882435586038853,0.016309445469721295,50,"[50, 35, 78, 61, 23]",8928.0,5,0.058358171404899795,d5_l15,50,0.9,0.01,1.0,0.1,10.0,1.0,0.10694069981094896,0.04314621187695961
