rank,feature,mean_gain,std_gain,mean_split,folds,gain_share
91,osm_001,62.79520092010498,92.01549372879077,1.8,5,0.0011372519911560226
92,ine_031,62.68164196014404,64.39828490934833,1.0,5,0.0011351953825070034
93,dgc_016,59.55946216583252,90.03483729999323,2.4,5,0.0010786511699588904
94,contratalunas,57.46024398803711,61.56133157308902,2.0,5,0.0010406332957011715
95,ine_011,57.229499626159665,127.96905148239182,1.0,5,0.0010364544017546894
96,ine_046,54.638499069213864,81.56958853524182,0.8,5,0.000989530106596816
97,ine_043,49.75227661132813,78.50296728561493,1.0,5,0.000901038213298602
98,formapago,49.34755611419678,77.41146430073114,3.6,5,0.0008937085259263156
99,dgc_011,48.83141937255859,47.05533937069292,1.2,5,0.0008843610355363474
100,rep_001,48.51164093017578,56.23986530105568,1.6,5,0.0008785696905768603
101,ine_023,47.00862083435059,70.29396929076832,1.0,5,0.0008513492569819509
102,ine_033,46.453399658203125,51.0621071133887,1.4,5,0.0008412939282489628
103,ine_010,46.29540023803711,56.05320877114358,1.6,5,0.0008384324809957895
104,ine_022,43.72614002227783,51.7238032329262,1.4,5,0.0007919019141155632
105,tomadorexperian,43.145696544647215,59.20141376266167,3.6,5,0.0007813897970904293
106,dgc_020,40.802399444580075,41.18566353651586,0.8,5,0.0007389515334353437
107,dgc_013,40.34943885803223,64.9165502595004,1.2,5,0.0007307481943040279
108,ine_013,39.89101848602295,89.19902902644806,0.8,5,0.0007224459757711603
109,ine_055,39.75818290710449,52.615503074604405,0.6,5,0.000720040258066497
110,ine_014,37.87273960113525,38.73878659786534,1.0,5,0.0006858939519394821
111,sea_001,36.13564605712891,53.10625628775924,1.6,5,0.0006544343330068355
112,contratadanyospropios,35.89151611328125,53.74015819232666,1.0,5,0.0006500130195836203
113,ine_004,34.9468994140625,43.65230841542633,1.2,5,0.0006329055463002311
114,tomadorcomarcaid,34.78500061035156,77.78162596211777,0.2,5,0.0006299734792921121
115,ine_002,33.20571937561035,64.11193345676185,0.4,5,0.0006013719189421435
116,ine_019,33.10647964477539,63.98967523148027,1.2,5,0.0005995746385793107
117,ine_039,30.856840324401855,42.52793942115182,1.2,5,0.0005588325634049232
118,ine_030,30.43774070739746,33.74470054708966,0.8,5,0.0005512424630955479
119,ine_038,27.91858615875244,54.43393528403247,1.2,5,0.0005056193345045373
120,ine_056,26.682479667663575,26.58289243945807,1.4,5,0.0004832328376437299
121,ine_026,25.743580627441407,57.56439626720567,0.4,5,0.0004662289139785175
122,ine_032,24.965573883056642,34.78335032204892,1.2,5,0.00045213882896851627
123,ine_029,23.893780517578126,34.22188365431214,0.4,5,0.0004327281236735515
124,tomadornacionalidadid,22.353411865234374,42.556447553253484,2.4,5,0.0004048312893402866
125,ine_049,21.76396083831787,31.292056149326523,0.6,5,0.00039415604116483044
126,ine_048,18.175059509277343,29.32440708914423,0.4,5,0.00032915927194186457
127,contrataasistencia,11.429920196533203,25.558078536845997,0.4,5,0.00020700147960033138
128,tipo,10.72922592163086,14.850900474277799,1.0,5,0.00019431156145932287
129,categoria,6.447940063476563,14.418032296777904,0.2,5,0.00011677536768093444
130,ine_003,5.786779975891113,12.939633396927125,0.4,5,0.00010480143312762199
131,tipodocumento,4.2731201171875,9.554987058053118,0.2,5,7.738830819099188e-05
132,ine_025,4.2726600646972654,9.553958349411735,0.2,5,7.737997641399476e-05
133,rep_003,3.584600067138672,8.01540942227238,0.2,5,6.49188712532055e-05
134,subramo,0.0,0.0,0.0,5,0.0
135,garantiaasistencia,0.0,0.0,0.0,5,0.0
136,motor,0.0,0.0,0.0,5,0.0
137,scoring,0.0,0.0,0.0,5,0.0
138,canalnombre,0.0,0.0,0.0,5,0.0
139,zona,0.0,0.0,0.0,5,0.0
140,tomadorprovinciaid,0.0,0.0,0.0,5,0.0
141,tomadorcategoriacarnet,0.0,0.0,0.0,5,0.0
142,flota,0.0,0.0,0.0,5,0.0
143,ine_052,0.0,0.0,0.0,5,0.0
144,dias_notificacion2,0.0,0.0,0.0,5,0.0
